"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"01.07.2016","5,170","5,740","6,070","4,810","1,34B","-9,62%"
"01.06.2016","5,720","6,230","6,280","5,480","1,44B","-8,04%"
"01.05.2016","6,220","6,900","6,930","5,990","1,60B","-9,86%"
"01.04.2016","6,900","7,780","7,920","6,860","1,51B","-11,42%"
"01.03.2016","7,790","7,450","8,000","7,370","1,61B","6,42%"
"01.02.2016","7,320","7,320","7,380","6,470","1,49B","0,14%"
"01.01.2016","7,310","7,230","7,400","6,940","1,26B","-1,08%"
"01.12.2015","7,390","7,690","8,070","6,760","1,75B","-3,52%"
"01.11.2015","7,660","9,100","9,330","7,650","952,22M","-11,03%"
"01.10.2015","8,610","8,020","8,750","7,980","617,12M","8,03%"
"01.09.2015","7,970","7,970","8,320","7,600","526,08M","-0,99%"
"01.08.2015","8,050","9,030","9,260","7,550","583,35M","-10,85%"
"01.07.2015","9,030","8,840","9,510","8,610","389,60M","2,61%"
"01.06.2015","8,800","9,000","9,220","8,100","427,10M","-2,44%"
"01.05.2015","9,020","8,850","9,830","8,680","472,25M","1,58%"
"01.04.2015","8,880","8,620","9,460","8,620","533,10M","3,38%"
"01.03.2015","8,590","9,080","9,150","8,130","535,89M","-5,08%"
"01.02.2015","9,050","9,280","9,770","8,630","665,55M","-3,52%"
"01.01.2015","9,380","9,600","10,450","9,000","677,05M","-2,60%"
"01.12.2014","9,630","9,410","9,910","8,900","825,23M","4,56%"
